county,count
Santa Fe,2
Santa María Huatulco,1
Santa Maria del Rio,1
Santiago,5
Santiago Astata,1
Santiago Ixcuintla,1
Santiago Papasquiaro,7
Santiago Tuxtla,1
Sierra,5
Sombrerete,1
Soto la Marina,1
Soyopa,1
Starr,2
Stone,1
Suchil,2
Sumner,1
Sweetwater,1
Talpa de Allende,1
Taos,1
Tapalpa,1
Tecate,2
Tehuacán,3
Tehuacan,1
Tehuantepec,4
Temósachi,10
Temósachi Municipio,1
Temascaltepec District,1
Temascaltepec Mun.,3
Tenejapa,1
Teotitlán de Flores MagÃ³n Municipio,1
Teotitlan,1
Tepetlán,1
Tepeyahualco,1
Tepic,2
Tequisquiapan,1
Terrell,4
Tiacoluta,1
Ticul,1
Tlahualillo,1
Tlalpan,1
Tlaxiaco,3
Tolapa,1
Tolimán,1
Tula,2
Tumbala,1
Tuxcueca,1
Tuxtepec,1
Tuxtla Gutiérrez,1
Uintah,4
Umatilla,1
Unplaced,40
Upton,2
Ures,4
Urique,1
Uvalde,3
Val Verde,12
Valle de Santiago,3
Vanegas,2
Victoria,1
Villa de Alvarez,1
Villa de Arriaga,1
Villa de Reyes,3
Villa Hidalgo,1
Villa Pesqueira,1
Villaldama,1
Volusia,1
Washington,6
Washoe,1
Webb,5
Weld,1
White Pine,1
Wilkinson,2
Will,2
Winn,1
Xalapa,6
Xichú,1
Yécora,5
Yécora Municipio,1
Yavapai,57
Yecora,4
Yuma,11
Zapata,2
Zapotitlán,2
Zapotitlan,1
Zapotitlan De Vadillo,1
Zaragoza,6
Zempoala,1
Zimapán,1
Zimapan,2
Zimatlán de Alvarez Municipio,1
Grand Total,2145
